Mot clé pour le Réseau de Recherche,Type de correspondance,État du critère,État de la campagne,État du groupe d'annonces,Impressions,Clics ,Conversions
MC33,Expression exacte,Activé,Activé,Activé,1 372,134,"1,00"
skorpio x5,Expression exacte,Activé,Activé,Activé,710,76,"1,00"
terminaux code barre,Expression exacte,Activé,Mis en veille,Activé,1 489,66,"0,00"
zebra MC33,Expression exacte,Activé,Activé,Activé,748,59,"3,00"
zebra MC33,Mot clé exact,Activé,Activé,Activé,603,53,"3,00"
zebra mc9300,Expression exacte,Activé,Activé,Activé,323,45,"0,00"
maintenance parc informatique,Expression exacte,Mis en veille,Activé,Activé,888,39,"2,00"
+wyse +3040,Requête large,Activé,Mis en veille,Activé,475,31,"2,00"
terminaux inventaire,Expression exacte,Activé,Mis en veille,Activé,233,27,"1,00"
+terminal +code +barre,Requête large,Activé,Mis en veille,Activé,350,25,"1,00"
mc9300,Mot clé exact,Activé,Activé,Activé,252,25,"0,00"
XT15,Expression exacte,Activé,Mis en veille,Activé,275,24,"0,00"
vh10,Expression exacte,Activé,Mis en veille,Activé,219,24,"0,00"
datalogic skorpio x5,Mot clé exact,Activé,Activé,Activé,157,22,"0,00"
MC33,Mot clé exact,Activé,Activé,Activé,359,20,"3,00"
zebra MC9300,Mot clé exact,Activé,Activé,Activé,177,17,"0,00"
datalogic skorpio x3,Expression exacte,Activé,Mis en veille,Activé,176,16,"0,00"
scanners à main,Expression exacte,Activé,Activé,Mis en veille,614,14,"0,00"
zebra tc51,Expression exacte,Activé,Mis en veille,Activé,132,13,"0,00"
+vc70,Requête large,Activé,Mis en veille,Activé,109,13,"0,00"
motorola MC3190,Expression exacte,Activé,Mis en veille,Activé,110,12,"0,33"
datalogic skorpio,Mot clé exact,Activé,Mis en veille,Activé,99,12,"0,00"
recode,Expression exacte,Activé,Activé,Activé,135,10,"0,00"
zebra TC20,Mot clé exact,Activé,Mis en veille,Activé,39,9,"0,00"
et51,Expression exacte,Activé,Mis en veille,Activé,65,9,"0,00"
vc5090,Expression exacte,Activé,Mis en veille,Activé,87,9,"0,00"
+terminal +inventaire,Requête large,Activé,Mis en veille,Activé,110,9,"0,00"
motorola MC33,Expression exacte,Activé,Activé,Activé,64,9,"0,00"
MC3090,Expression exacte,Activé,Mis en veille,Activé,62,8,"0,00"
pda zebra,Expression exacte,Activé,Mis en veille,Activé,141,8,"0,00"
zebra tc56,Mot clé exact,Activé,Mis en veille,Activé,102,8,"0,00"
terminal pda,Expression exacte,Activé,Mis en veille,Activé,171,8,"2,00"
pda honeywell,Expression exacte,Activé,Mis en veille,Activé,102,8,"0,00"
skorpio x4,Expression exacte,Activé,Mis en veille,Activé,74,7,"0,00"
zebra tc51,Mot clé exact,Activé,Mis en veille,Activé,94,7,"0,00"
zebra tc56,Expression exacte,Activé,Mis en veille,Activé,171,7,"0,00"
datalogic skorpio x5,Expression exacte,Activé,Activé,Activé,58,7,"0,00"
MC3190,Mot clé exact,Activé,Mis en veille,Activé,47,6,"0,33"
datalogic x3,Expression exacte,Activé,Mis en veille,Activé,63,6,"0,00"
TC26,Expression exacte,Activé,Mis en veille,Activé,106,6,"0,00"
+wyse +t10,Requête large,Activé,Mis en veille,Activé,22,5,"0,00"
CK3X,Expression exacte,Activé,Mis en veille,Activé,36,5,"0,00"
tc51,Mot clé exact,Activé,Mis en veille,Activé,56,5,"0,00"
tablette zebra,Mot clé exact,Activé,Mis en veille,Activé,25,5,"0,00"
pda android,Mot clé exact,Activé,Mis en veille,Activé,42,5,"0,00"
terminal mobile skorpio x5,Mot clé exact,Activé,Activé,Activé,74,5,"0,00"
motorola MC9190,Expression exacte,Activé,Mis en veille,Activé,38,4,"0,00"
MC22,Expression exacte,Activé,Mis en veille,Activé,26,4,"0,00"
wyse 3020,Expression exacte,Activé,Mis en veille,Activé,8,4,"0,00"
